
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-7.93734133e-01, -1.00029230e+00, -5.56025766e-02, 5.29907656e+00
-7.93734133e-01, -1.11998051e-01, 1.25000000e-01, 3.47381186e+00
-7.93734133e-01, -1.11322021e+00, 1.61227345e-01, 5.36641550e+00
-7.93734133e-01, -7.26326764e-01, 1.67539388e-01, 5.31228352e+00
-7.93734133e-01, -7.38691092e-01, 2.11350054e-01, 5.36573553e+00
-7.93734133e-01, -6.98347211e-01, 2.07532048e-01, 5.34842348e+00
-7.93734133e-01, -5.67081332e-01, 4.38645780e-02, 5.17386341e+00
-7.93734133e-01, -1.03417289e+00, 7.57211521e-02, 5.30563593e+00
-7.93734133e-01, -8.04353833e-01, 7.93269202e-02, 5.29420424e+00
-7.93734133e-01, -3.90265435e-01, 1.25000000e-01, 4.84708786e+00
-7.93734133e-01, -8.62838566e-01, -2.09935904e-01, 5.37920189e+00
-7.93734133e-01, -8.43417048e-01, -1.73254490e-01, 5.33419275e+00
-7.93734133e-01, -8.16776454e-01, -2.09935904e-01, 5.38230610e+00
-7.93734133e-01, -8.88697028e-01, -1.66324377e-01, 5.33158445e+00
-7.93734133e-01, 1.66269332e-01, -1.25000000e-01, 1.47322893e+00
-7.93734133e-01, -8.56602907e-01, -1.30079553e-01, 5.31205463e+00
-7.93734133e-01, -1.11998051e-01, -1.25000000e-01, 3.47454953e+00
-7.93734133e-01, -1.02299249e+00, 1.59455121e-01, 5.34770918e+00
-7.93734133e-01, 5.75337291e-01, -1.74981013e-01, 1.07041657e-01
-7.93734133e-01, -9.79099095e-01, -1.29807696e-01, 5.32106018e+00
-7.93734133e-01, -9.61017251e-01, -1.71073720e-01, 5.34324598e+00
-7.93734133e-01, -9.98561263e-01, -1.73477560e-01, 5.35230112e+00
-7.93734133e-01, -3.90265435e-01, -1.25000000e-01, 4.84897137e+00
-7.93734133e-01, 3.12856615e-01, 1.66666672e-01, 7.24786341e-01
-7.93734133e-01, -7.47581244e-01, -1.23749070e-01, 5.29670954e+00
-7.93734133e-01, -7.65256584e-01, -8.32371265e-02, 5.28886175e+00
-7.93734133e-01, -7.27333367e-01, -8.49358961e-02, 5.28149652e+00
-7.93734133e-01, -6.69736445e-01, 3.89138497e-02, 5.25090599e+00
-7.93734133e-01, -1.04605460e+00, -5.24267145e-02, 5.30084372e+00
-7.93734133e-01, 8.61751363e-02, 1.25229806e-01, 2.04141378e+00
-7.93734133e-01, 6.68881238e-02, 1.66666672e-01, 2.17317963e+00
-7.93734133e-01, -1.08408916e+00, -1.97196335e-01, 5.40670490e+00
-7.93734133e-01, -4.83849406e-01, -8.33333358e-02, 5.05856180e+00
-7.93734133e-01, -3.65834236e-01, -1.66666672e-01, 4.79109240e+00
-7.93734133e-01, -8.75668377e-02, -1.66666672e-01, 3.33090091e+00
-7.93734133e-01, -2.05582023e-01, -8.33333358e-02, 4.05095720e+00
-7.93734133e-01, 1.90700546e-01, -1.66666672e-01, 1.33506143e+00
-7.93734133e-01, -7.91240990e-01, 3.77938002e-02, 5.28641176e+00
-7.93734133e-01, -8.06197286e-01, -4.13027499e-03, 5.28664780e+00
-7.93734133e-01, -8.26714575e-01, 3.68589722e-02, 5.28969049e+00
-7.93734133e-01, 6.12167120e-01, 1.92864183e-02, 4.20426317e-02
-7.93734133e-01, 7.26853609e-02, -8.33333358e-02, 2.10465741e+00
-7.93734133e-01, 8.72762278e-02, -1.25000000e-01, 2.01993179e+00
-7.93734133e-01, 3.98414940e-01, 9.45538506e-02, 3.78302336e-01
-7.93734133e-01, 3.17289352e-01, -7.74113312e-02, 6.49787009e-01
-7.93734133e-01, 4.72721517e-01, -6.33172393e-02, 2.10453138e-01
-7.93734133e-01, 4.52473402e-01, 6.22996800e-02, 2.47977182e-01
-7.93734133e-01, -1.90991163e-01, -1.25000000e-01, 3.97777677e+00
-7.93734133e-01, 4.30511773e-01, 3.45067754e-02, 2.92640954e-01
-7.93734133e-01, 7.12015480e-02, -1.66666672e-01, 2.15310550e+00
-7.93734133e-01, -1.92092255e-01, 1.25229806e-01, 3.99197841e+00
-7.93734133e-01, -2.11379260e-01, 1.66666672e-01, 4.10183859e+00
-7.93734133e-01, -4.69258547e-01, -1.25000000e-01, 5.04291058e+00
-7.93734133e-01, -2.07065836e-01, -1.66666672e-01, 4.08518982e+00
-7.93734133e-01, 5.43265283e-01, -2.38705091e-02, 1.02862194e-01
-7.93734133e-01, 4.03242350e-01, 1.67481020e-01, 4.04452056e-01
-7.93734133e-01, -1.04204059e+00, -1.84294879e-01, 5.37004662e+00
-7.93734133e-01, -5.88990629e-01, 1.89249851e-02, 5.19540739e+00
-7.93734133e-01, 1.24032319e-01, 1.25000000e-01, 1.74550688e+00
-7.93734133e-01, -4.70219851e-01, 1.25121936e-01, 5.04668236e+00
-7.93734133e-01, -6.87148631e-01, -9.08463523e-02, 5.26859188e+00
-7.93734133e-01, -4.89646643e-01, 1.66666672e-01, 5.09965324e+00
-7.93734133e-01, -1.02154315e+00, -2.06330176e-02, 5.29513454e+00
-7.93734133e-01, 4.42248642e-01, -1.55646905e-01, 2.88147867e-01
-7.93734133e-01, 3.25187892e-02, 1.66666672e-01, 2.47383261e+00
-7.93734133e-01, -4.85333234e-01, -1.66666672e-01, 5.09242916e+00
-7.93734133e-01, -2.45748594e-01, 1.66666672e-01, 4.31608343e+00
