
[Name]
parachute_model_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-3.17499996e-03, -1.91360936e-01, 1.04767539e-01, 1.29203596e+01
-3.17499996e-03, -1.57132909e-01, 1.19593531e-01, 1.44612303e+01
3.17499996e-03, -3.37681733e-02, 1.73029423e-01, 6.77725255e-01
-3.17499996e-03, -1.07358076e-01, 1.41153678e-01, 1.87214184e+01
-3.17499996e-03, -1.28980011e-01, 1.31788060e-01, 1.40674849e+01
-3.17499996e-03, -1.04886129e-01, 1.42224416e-01, 2.00766544e+01
-3.17499996e-03, -9.02418941e-02, 1.48567617e-01, 1.73665352e+01
-3.17499996e-03, -8.78984258e-02, 1.49582699e-01, 1.73676357e+01
-3.17499996e-03, -7.63856620e-02, 1.54569492e-01, 1.81922855e+01
-3.17499996e-03, -7.42173195e-02, 1.55508727e-01, 1.82867775e+01
-3.17499996e-03, -6.51062652e-02, 1.59455210e-01, 1.61462193e+01
-3.17499996e-03, -6.31377101e-02, 1.60307899e-01, 1.77451077e+01
-3.17499996e-03, -5.59904538e-02, 1.63403749e-01, 1.50724115e+01
-3.17499996e-03, -4.87375483e-02, 1.66545376e-01, 1.31435013e+01
-3.17499996e-03, -4.28420603e-02, 1.69099033e-01, 1.19690561e+01
-3.17499996e-03, -2.84449812e-02, 1.75335184e-01, -3.60043597e+00
-3.17499996e-03, -4.12105262e-01, 9.15133767e-03, -7.53580713e+00
1.77719654e-03, -4.09182459e-01, 1.04173524e-02, -8.73147583e+00
1.87574152e-03, -4.10531521e-01, 9.83300898e-03, -9.89888477e+00
2.10535410e-03, -4.11721170e-01, 9.31770820e-03, -1.02943182e+01
1.47396419e-03, -4.07254070e-01, 1.12526454e-02, -6.73255920e+00
1.45567209e-03, -4.05284524e-01, 1.21057620e-02, -4.31704998e+00
-3.17499996e-03, -3.96569699e-01, 1.58806257e-02, 1.16606445e+01
-3.17499996e-03, -4.08556342e-01, 1.06885629e-02, -9.60117951e-02
-3.17499996e-03, -4.09909070e-01, 1.01026185e-02, -5.70902681e+00
-3.17499996e-03, -4.06993240e-01, 1.13656260e-02, 4.48452234e+00
-3.17499996e-03, -4.02824908e-01, 1.31711494e-02, 5.41498947e+00
