unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,30142,-0.08235132,-0.084143735,-0.083044566,-0.08178321,-0.07975751
H1,30143,-0.04594399,-0.0464572,-0.045323938,-0.045982033,-0.046190992
H1,30144,0.0077017546,0.007933095,0.0094073415,0.00863643,0.0071526915
H1,30145,0.020583212,0.018482208,0.020439923,0.01980044,0.019360006
H1,30146,-0.0138822645,-0.015813515,-0.014059991,-0.014991462,-0.014787585
H1,30147,-0.07491228,-0.07595885,-0.07551299,-0.07354639,-0.076337166
H1,30148,-0.05534033,-0.057143454,-0.05850703,-0.056675926,-0.05842037
H1,30149,0.018907435,0.019416325,0.017851323,0.018748065,0.019078232
H1,30150,0.037421502,0.037859887,0.03594643,0.03877452,0.033885065
H1,30151,-0.023178786,-0.023612529,-0.024794891,-0.023757145,-0.026413515
H1,30152,-0.061898917,-0.06098044,-0.061212927,-0.06126921,-0.058513306
H1,30153,-0.05021435,-0.05022295,-0.05220735,-0.051922143,-0.04906909
H1,30154,0.009563118,0.009451613,0.0068148524,0.005881563,0.00666517
H1,30155,0.048286084,0.048014022,0.047523454,0.040903926,0.041940585
H1,30156,-0.020965261,-0.018745434,-0.020071499,-0.021699663,-0.019758906
H1,30157,-0.07719387,-0.072617985,-0.07816787,-0.07447136,-0.07670468
H1,30158,-0.053732596,-0.05120728,-0.05342959,-0.056669082,-0.05441285
H1,30159,0.017184928,0.01976344,0.017195746,0.015942782,0.017991737
H1,30160,0.035793126,0.039037317,0.032513335,0.035062477,0.031525508
H1,30161,-0.01752393,-0.015842006,-0.020001128,-0.019765392,-0.019666538
H1,30162,-0.06621981,-0.065754615,-0.06840988,-0.07011445,-0.068551734
H1,30163,-0.053942397,-0.05282846,-0.057229906,-0.05724527,-0.055358335
H1,30164,0.024245618,0.024528299,0.019968286,0.021869943,0.01848165
H1,30165,0.038561177,0.036370903,0.03893538,0.03698743,0.03427635
H1,30166,-0.016299829,-0.015337601,-0.018094398,-0.01834374,-0.018547732
H1,30167,-0.06669475,-0.06573634,-0.07157035,-0.070657074,-0.07290302
H1,30168,-0.053664036,-0.054846153,-0.05474946,-0.056893237,-0.057134006
H1,30169,0.022580449,0.02454479,0.021583743,0.020985574,0.020591833
H1,30170,0.035057448,0.036844313,0.03454663,0.035072275,0.034812994
H1,30171,-0.017205276,-0.014970742,-0.017845351,-0.01645673,-0.017370053
H1,30172,-0.07288454,-0.070588335,-0.06917936,-0.07519198,-0.070228115
H1,30173,-0.05847717,-0.05705235,-0.05684243,-0.05895953,-0.05739982
H1,30174,0.021477744,0.023157202,0.01979798,0.024872115,0.01939233
H1,30175,0.034241915,0.03404375,0.033824645,0.035055358,0.033238508
H1,30176,-0.016713232,-0.01798004,-0.0185159,-0.018451907,-0.018051274
H1,30177,-0.07118043,-0.0728506,-0.070934996,-0.0747525,-0.071028925
H1,30178,-0.055578023,-0.05649315,-0.057422087,-0.057143226,-0.05678448
H1,30179,0.018898912,0.018772937,0.017979503,0.01644592,0.017728858
H1,30180,0.043938067,0.04282987,0.042027958,0.03846229,0.044795427
H1,30181,-0.01727075,-0.018166855,-0.018936917,-0.019629873,-0.016960654
H1,30182,-0.08437766,-0.08651694,-0.083401345,-0.08633758,-0.08710528
H1,30183,-0.04376729,-0.045042574,-0.0445669,-0.04645565,-0.04561776
H1,30184,0.014844269,0.015471473,0.013908073,0.013418227,0.015389144
H1,30185,0.025847077,0.02401124,0.022928804,0.024544612,0.02422364
H1,30186,-0.012892127,-0.01161287,-0.01175572,-0.01488775,-0.014177874
H1,30187,-0.07751034,-0.07608028,-0.07584596,-0.08315794,-0.08035834
H1,30188,-0.059554156,-0.058487877,-0.059058823,-0.060042482,-0.061500482
H1,30189,0.023842731,0.0264897,0.024634805,0.024957543,0.021736996
H1,30190,0.044474043,0.04663525,0.044719733,0.038728494,0.03979861
H1,30191,-0.022543281,-0.020552471,-0.02062516,-0.02523455,-0.0244672
H1,30192,-0.059630185,-0.059294254,-0.06065221,-0.059314936,-0.061362118
H1,30193,-0.04863298,-0.047734737,-0.053868875,-0.049227625,-0.052532956
H1,30194,0.012537584,0.013057083,0.010951951,0.008528866,0.011107713
H1,30195,0.049554333,0.052960947,0.053817905,0.05013878,0.053777292
H1,30196,-0.01761362,-0.015949536,-0.019574482,-0.016743196,-0.019590974
H1,30197,-0.07742415,-0.07715027,-0.07929121,-0.08309829,-0.08187656
H1,30198,-0.055624183,-0.053687952,-0.054461688,-0.05637048,-0.054785796
H1,30199,0.022716954,0.023627669,0.020991936,0.023067296,0.020619228
H1,30200,0.04008527,0.041860312,0.03918977,0.03730817,0.035707444
H1,30201,-0.015664816,-0.014584348,-0.015887707,-0.018477887,-0.01979722
H1,30202,-0.07085373,-0.06875956,-0.07041098,-0.06911312,-0.07051481
H1,30203,-0.05806946,-0.056514483,-0.056332022,-0.055441335,-0.056970663
H1,30204,0.026991952,0.028477713,0.029608816,0.02110552,0.02133914
H1,30205,0.041441597,0.043552067,0.04672025,0.03682844,0.037968237
H1,30206,-0.016735978,-0.01697608,-0.015535893,-0.018331122,-0.019077312
H1,30207,-0.07037632,-0.071659386,-0.072768845,-0.07540828,-0.074061535
H1,30208,-0.055709,-0.05597812,-0.05577214,-0.060220376,-0.057181627
H1,30209,0.025578313,0.027134374,0.02370698,0.022810437,0.022798147
H1,30210,0.041217633,0.040086888,0.039672084,0.037214406,0.03960866
H1,30211,-0.014117591,-0.015917566,-0.018492362,-0.01984179,-0.017251194
H1,30212,-0.0759905,-0.07083799,-0.074726395,-0.07642315,-0.0775976
H1,30213,-0.056488425,-0.055552095,-0.05653637,-0.059342995,-0.057763338
H1,30214,0.029200792,0.026292894,0.024041563,0.023663258,0.025885463
H1,30215,0.03773188,0.04042487,0.037622854,0.036686063,0.036221087
H1,30216,-0.01606965,-0.014177531,-0.016017854,-0.018295065,-0.018086761
H1,30217,-0.07144474,-0.073567465,-0.06937416,-0.0757242,-0.073076546
H1,30218,-0.055257842,-0.057791874,-0.057776727,-0.059742853,-0.057455793
H1,30219,0.024286274,0.023594692,0.024320643,0.021679178,0.020217158
H1,30220,0.05208166,0.049439333,0.053889845,0.04698413,0.049888164
H1,30221,-0.015629247,-0.01692013,-0.0163644,-0.016841352,-0.01867339
H1,30222,-0.085175164,-0.08340034,-0.08277522,-0.08421495,-0.09352461
H1,30223,-0.042438358,-0.04245262,-0.041238055,-0.044396237,-0.04612294
H1,30224,0.017034888,0.015849248,0.016445369,0.01642336,0.01828359
H1,30225,0.031089365,0.030173391,0.027919501,0.02848646,0.02994138
H1,30226,-0.009797111,-0.009822443,-0.007953271,-0.011276431,-0.011588618
H1,30227,-0.08066644,-0.079655685,-0.07812704,-0.08381746,-0.07765736
H1,30228,-0.05969317,-0.06147892,-0.06279947,-0.06163416,-0.058086105
H1,30229,0.029428123,0.02754559,0.0288672,0.028215077,0.028126791
H1,30230,0.047825642,0.048849247,0.047647905,0.045330487,0.048782285
H1,30231,-0.023366712,-0.023171283,-0.02529563,-0.023639604,-0.02337329
H1,30232,-0.06171532,-0.061737984,-0.062514305,-0.06201324,-0.061944827
H1,30233,-0.049617723,-0.04856795,-0.04905349,-0.048428133,-0.049329236
