ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
31604,0.04616854,0.047219276,0.04561583,0.04547008,0.046735026
31605,0.06764137,0.06216909,0.064087,0.061424248,0.062570564
31606,-0.0011400655,0.0010023676,-0.0013287216,0.00053329766,0.0003619492
31607,-0.06278954,-0.061887853,-0.063122,-0.062338077,-0.06064547
31608,-0.04477878,-0.045438386,-0.04668003,-0.047415175,-0.04628888
31609,0.045111172,0.044805948,0.04620421,0.045360263,0.04376331
31610,0.060149252,0.06456147,0.060897313,0.064970724,0.06497324
31611,-0.00059176236,-0.00011574663,-0.0009004697,0.0006378442,0.00047710538
31612,-0.065019414,-0.06562914,-0.06498904,-0.0659665,-0.073879376
31613,-0.0459297,-0.043249127,-0.047420446,-0.044335686,-0.04756902
31614,0.045999143,0.045411214,0.04573682,0.046322286,0.047959153
31615,0.059085578,0.059917346,0.059700727,0.059288397,0.057826787
31616,0.00058716536,0.0014874339,-0.00043569505,0.00093510747,-6.006658e-05
31617,-0.06409119,-0.06422953,-0.065538645,-0.06174685,-0.06448662
31618,-0.04354538,-0.045172304,-0.044737265,-0.045393966,-0.04533109
31619,0.043204077,0.04395008,0.043846697,0.043042324,0.04114425
31620,0.068715885,0.07006508,0.06740279,0.07370251,0.07117321
31621,-0.0015846863,-0.00041478127,-0.0015760744,-0.0011223722,-0.0015840381
31622,-0.078770116,-0.077274345,-0.077171095,-0.080012836,-0.084457725
31623,-0.03275381,-0.032549053,-0.033536285,-0.03165622,-0.034796894
31624,0.033784524,0.03599055,0.03537643,0.03654191,0.036218375
31625,0.044353634,0.048676252,0.049349874,0.047929257,0.048539355
31626,0.00382258,0.0064686164,0.0072118044,0.007098809,0.006201878
31627,-0.07136679,-0.06965123,-0.07058632,-0.06803355,-0.068877295
31628,-0.050763845,-0.04717279,-0.047083702,-0.05050791,-0.04924857
31629,0.049267285,0.04882816,0.050219357,0.049982145,0.04855235
31630,0.06937596,0.06933466,0.07041122,0.072144896,0.07047403
31631,-0.0060896054,-0.0048106313,-0.005103424,-0.006134391,-0.007020995
31632,-0.045103922,-0.047788218,-0.048790663,-0.046371117,-0.048323542
31633,-0.03209287,-0.036346078,-0.035006344,-0.03467284,-0.035277277
31634,0.031915784,0.035608992,0.035563976,0.035657823,0.033147395
31635,0.07628339,0.08228011,0.07946055,0.07961096,0.07723998
31636,0.0028073452,-0.00078401156,-0.00045886682,0.0018877909,-0.0007740259
31637,-0.0696173,-0.0681121,-0.0677854,-0.0688933,-0.07239662
31638,-0.040420637,-0.04222983,-0.04324741,-0.04228151,-0.04468858
31639,0.047155812,0.043951035,0.04411392,0.04685191,0.044415615
31640,0.06300175,0.06718826,0.066515386,0.06396001,0.06251491
31641,0.0021022856,0.00071938336,4.902482e-05,0.00030565262,-0.0012437254
31642,-0.05748503,-0.059852876,-0.062409118,-0.059958197,-0.058993418
31643,-0.042084903,-0.044687092,-0.04839129,-0.04452507,-0.04620702
31644,0.047077335,0.04964918,0.04624301,0.047599457,0.0446115
31645,0.0629178,0.06614993,0.06428848,0.06546772,0.066300705
31646,0.0011246917,0.0029239058,-0.0012102351,0.00061469525,-0.00017954409
31647,-0.0608344,-0.05727987,-0.06257762,-0.062279724,-0.06310866
31648,-0.044663824,-0.04380487,-0.045833737,-0.044635613,-0.044538308
31649,0.045577493,0.04776488,0.046083458,0.04750853,0.04644514
31650,0.06349653,0.06576738,0.061857633,0.06303101,0.061914675
31651,0.00079793483,0.0013668891,0.0007071942,0.0010110177,-0.0008496791
31652,-0.06326866,-0.06203674,-0.063629575,-0.06330227,-0.061746143
31653,-0.043992,-0.041142017,-0.047193274,-0.045187186,-0.04276517
31654,0.047148585,0.045848705,0.04833807,0.048795514,0.04579608
31655,0.061258905,0.058812663,0.063562445,0.063098826,0.059670296
31656,0.0014480948,0.0021598786,0.00038163364,0.0024740845,0.001427833
31657,-0.059805587,-0.05845253,-0.06498015,-0.061332494,-0.05995351
31658,-0.042516425,-0.044429958,-0.0432574,-0.04161568,-0.04613752
